TYPMAR3;REGDEP_MAR;GRAGE;NBMARIES
HF-F;4452;30_34;111
HF-F;4452;35_39;54
HF-F;4452;40_49;61
HF-F;4452;50_59;22
HF-F;4452;60_PL;9
HF-F;4454;14_19;13
HF-F;4454;20_24;167
HF-F;4454;25_29;529
HF-F;4454;30_34;487
HF-F;4454;35_39;289
HF-F;4454;40_49;259
HF-F;4454;50_59;100
HF-F;4454;60_PL;27
HF-F;4455;14_19;0
HF-F;4455;20_24;24
HF-F;4455;25_29;129
HF-F;4455;30_34;132
HF-F;4455;35_39;90
HF-F;4455;40_49;62
HF-F;4455;50_59;40
HF-F;4455;60_PL;5
HF-F;4457;14_19;13
HF-F;4457;20_24;318
HF-F;4457;25_29;904
HF-F;4457;30_34;727
HF-F;4457;35_39;410
HF-F;4457;40_49;316
HF-F;4457;50_59;125
HF-F;4457;60_PL;29
HF-F;4467;14_19;23
HF-F;4467;20_24;458
HF-F;4467;25_29;1076
HF-F;4467;30_34;833
HF-F;4467;35_39;430
HF-F;4467;40_49;317
HF-F;4467;50_59;122
HF-F;4467;60_PL;39
HF-F;4468;14_19;20
HF-F;4468;20_24;312
HF-F;4468;25_29;647
HF-F;4468;30_34;521
HF-F;4468;35_39;293
HF-F;4468;40_49;237
HF-F;4468;50_59;83
HF-F;4468;60_PL;26
HF-F;4488;14_19;2
HF-F;4488;20_24;88
HF-F;4488;25_29;243
HF-F;4488;30_34;246
HF-F;4488;35_39;157
HF-F;4488;40_49;116
HF-F;4488;50_59;80
HF-F;4488;60_PL;16
HF-F;5244;14_19;16
HF-F;5244;20_24;228
HF-F;5244;25_29;969
HF-F;5244;30_34;1017
HF-F;5244;35_39;683
HF-F;5244;40_49;547
HF-F;5244;50_59;188
HF-F;5244;60_PL;29
HF-F;5249;14_19;5
HF-F;5249;20_24;150
HF-F;5249;25_29;570
HF-F;5249;30_34;554
HF-F;5249;35_39;323
HF-F;5249;40_49;262
HF-F;5249;50_59;111
HF-F;5249;60_PL;24
HF-F;5253;14_19;1
HF-F;5253;20_24;51
HF-F;5253;25_29;239
HF-F;5253;30_34;243
HF-F;5253;35_39;116
HF-F;5253;40_49;101
HF-F;5253;50_59;52
HF-F;5253;60_PL;13
HF-F;5272;14_19;3
HF-F;5272;20_24;108
HF-F;5272;25_29;357
HF-F;5272;30_34;407
HF-F;5272;35_39;219
HF-F;5272;40_49;204
HF-F;5272;50_59;96
HF-F;5272;60_PL;31
HF-F;5285;14_19;1
HF-F;5285;20_24;93
HF-F;5285;25_29;461
HF-F;5285;30_34;540
HF-F;5285;35_39;325
HF-F;5285;40_49;251
HF-F;5285;50_59;97
HF-F;5285;60_PL;33
HF-F;5322;14_19;2
HF-F;5322;20_24;86
HF-F;5322;25_29;397
HF-F;5322;30_34;416
HF-F;5322;35_39;271
HF-F;5322;40_49;220
HF-F;5322;50_59;106
HF-F;5322;60_PL;21
HF-F;5329;14_19;9
HF-F;5329;20_24;126
HF-F;5329;25_29;528
HF-F;5329;30_34;626
HF-F;5329;35_39;387
HF-F;5329;40_49;310
HF-F;5329;50_59;127
HF-F;5329;60_PL;33
HF-F;5335;14_19;9
HF-F;5335;20_24;164
HF-F;5335;25_29;695
HF-F;5335;30_34;722
HF-F;5335;35_39;436
HF-F;5335;40_49;361
HF-F;5335;50_59;140
HF-F;5335;60_PL;45
HF-F;5356;14_19;5
HF-F;5356;20_24;106
HF-F;5356;25_29;539
HF-F;5356;30_34;611
HF-F;5356;35_39;309
HF-F;5356;40_49;319
HF-F;5356;50_59;123
HF-F;5356;60_PL;29
HF-F;7516;14_19;5
HF-F;7516;20_24;53
HF-F;7516;25_29;193
HF-F;7516;30_34;239
HF-F;7516;35_39;159
HF-F;7516;40_49;111
HF-F;7516;50_59;64
HF-F;7516;60_PL;13
HF-F;7517;14_19;7
HF-F;7517;20_24;87
HF-F;7517;25_29;383
HF-F;7517;30_34;475
HF-F;7517;35_39;289
HF-F;7517;40_49;296
HF-F;7517;50_59;155
HF-F;7517;60_PL;57
HF-F;7519;14_19;1
HF-F;7519;20_24;39
HF-F;7519;25_29;119
HF-F;7519;30_34;153
HF-F;7519;35_39;78
HF-F;7519;40_49;79
HF-F;7519;50_59;38
HF-F;7519;60_PL;9
HF-F;7523;14_19;2
HF-F;7523;20_24;16
HF-F;7523;25_29;57
HF-F;7523;30_34;60
HF-F;7523;35_39;37
HF-F;7523;40_49;33
HF-F;7523;50_59;22
HF-F;7523;60_PL;4
HF-F;7524;14_19;3
HF-F;7524;20_24;73
HF-F;7524;25_29;256
HF-F;7524;30_34;274
HF-F;7524;35_39;166
HF-F;7524;40_49;170
HF-F;7524;50_59;98
HF-F;7524;60_PL;37
HF-F;7533;14_19;17
HF-F;7533;20_24;305
HF-F;7533;25_29;1074
HF-F;7533;30_34;1182
HF-F;7533;35_39;699
HF-F;7533;40_49;667
HF-F;7533;50_59;274
HF-F;7533;60_PL;91
HF-F;7540;14_19;1
HF-F;7540;20_24;53
HF-F;7540;25_29;238
HF-F;7540;30_34;297
HF-F;7540;35_39;185
HF-F;7540;40_49;161
HF-F;7540;50_59;78
HF-F;7540;60_PL;16
HF-F;7547;14_19;5
HF-F;7547;20_24;68
HF-F;7547;25_29;194
HF-F;7547;30_34;228
HF-F;7547;35_39;128
HF-F;7547;40_49;116
HF-F;7547;50_59;51
HF-F;7547;60_PL;14
HF-F;7564;14_19;10
HF-F;7564;20_24;89
HF-F;7564;25_29;400
HF-F;7564;30_34;487
HF-F;7564;35_39;288
HF-F;7564;40_49;242
HF-F;7564;50_59;98
HF-F;7564;60_PL;27
HF-F;7579;14_19;4
HF-F;7579;20_24;65
HF-F;7579;25_29;194
HF-F;7579;30_34;204
HF-F;7579;35_39;155
HF-F;7579;40_49;127
HF-F;7579;50_59;55
HF-F;7579;60_PL;15
HF-F;7586;14_19;4
HF-F;7586;20_24;84
HF-F;7586;25_29;256
HF-F;7586;30_34;274
HF-F;7586;35_39;158
HF-F;7586;40_49;161
HF-F;7586;50_59;66
HF-F;7586;60_PL;19
HF-F;7587;14_19;7
HF-F;7587;20_24;63
HF-F;7587;25_29;186
HF-F;7587;30_34;230
HF-F;7587;35_39;138
HF-F;7587;40_49;145
HF-F;7587;50_59;48
HF-F;7587;60_PL;8
HF-F;7609;14_19;3
HF-F;7609;20_24;29
HF-F;7609;25_29;88
HF-F;7609;30_34;86
HF-F;7609;35_39;52
HF-F;7609;40_49;55
HF-F;7609;50_59;38
HF-F;7609;60_PL;12
HF-F;7611;14_19;4
HF-F;7611;20_24;85
HF-F;7611;25_29;216
HF-F;7611;30_34;222
HF-F;7611;35_39;157
HF-F;7611;40_49;175
HF-F;7611;50_59;70
HF-F;7611;60_PL;16
HF-F;7612;14_19;5
HF-F;7612;20_24;41
HF-F;7612;25_29;180
HF-F;7612;30_34;201
HF-F;7612;35_39;107
HF-F;7612;40_49;90
HF-F;7612;50_59;44
HF-F;7612;60_PL;11
HF-F;7630;14_19;19
HF-F;7630;20_24;263
HF-F;7630;25_29;545
HF-F;7630;30_34;516
